@relation LOAN

@attribute Married numeric
@attribute Dependents numeric
@attribute Education numeric
@attribute Self_Employed numeric
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Property_Area numeric
@attribute Loan_Status {1.0,2.0}

@data
2,2,2,1,2889,0,45,180,1,1.0
1,0,1,1,3166,2985,132,360,3,2.0
2,1,1,1,4666,0,135,360,1,2.0
2,0,1,1,6250,0,128,360,2,2.0
1,0,2,1,3200,2254,126,180,1,1.0
2,0,1,1,7901,1833,180,360,3,2.0
2,3,1,1,51763,0,700,300,1,2.0
1,0,1,1,5000,0,103,360,2,1.0
2,1,1,1,1625,1803,96,360,1,2.0
2,1,1,2,3450,2079,162,360,2,2.0
2,0,1,1,6000,2250,265,360,2,1.0
2,0,2,2,4695,0,96,-1,1,2.0
1,0,1,1,3229,2739,110,360,1,2.0
2,1,1,1,1538,1425,30,360,1,2.0
2,-1,2,1,2875,1750,105,360,2,2.0
2,0,1,1,4583,0,118.713872,360,3,1.0
2,0,1,1,3416,2816,113,360,2,2.0
2,0,1,1,3366,2200,135,360,3,1.0
2,0,1,1,3941,2336,134,360,2,2.0
1,0,1,1,1844.446318,0,23.026933,360,1,1.0
2,0,1,1,5708,5625,187,360,2,2.0
1,0,1,1,3322.945198,0,158.480379,360,3,1.0
2,0,1,-1,6256,0,160,360,1,2.0
1,0,1,1,9508,0,187,360,3,2.0
2,1,1,1,4945,0,-1,360,3,1.0
1,0,1,1,2641.081305,0,133.500907,360,1,1.0
2,0,1,1,5715.507567,2475.638471,181.763778,360,3,1.0
1,0,1,1,3858,0,76,360,2,2.0
1,0,1,1,2171.797712,0,73.564987,453.899679,1,1.0
1,0,1,-1,6782,0,-1,360,1,1.0
2,0,1,1,3087,2210,136,360,2,1.0
1,3,2,1,1830,0,-1,360,1,1.0
2,2,1,-1,2500,1840,109,360,1,2.0
1,0,1,1,3494.261229,0,128.881753,360,1,1.0
1,0,2,1,3833,0,110,360,3,2.0
2,2,1,1,3276,484,135,360,2,2.0
2,0,2,1,3406,4417,123,360,2,2.0
1,1,1,1,3812,0,112,360,3,2.0
1,0,1,1,1569.671506,0,13.895058,360,1,1.0
1,0,1,1,2800.768613,0,66.026279,316.4522,1,1.0
2,0,1,1,2499,2458,160,360,2,2.0
1,0,1,1,5254.269139,2623.804492,310.298091,461.401501,3,1.0
2,0,1,1,3733.207477,3941.470736,175.791227,336.389614,3,1.0
2,1,2,1,2653,1500,113,180,3,1.0
2,3,1,1,4342,189,124,360,2,2.0
1,0,1,1,3458.210279,0,103.913541,360,1,1.0
1,0,1,1,2237,0,63,480,2,1.0
1,0,1,1,4315.856058,1416.109144,102.552543,360,2,1.0
1,0,1,1,2192.974379,0,65.230853,321.707676,3,1.0
2,2,1,1,6700,1750,230,300,2,2.0
2,0,2,1,2333,1516,95,360,1,2.0
2,3,2,2,7100,0,125,60,1,2.0
1,0,2,1,1907,2365,120,-1,1,2.0
2,0,1,1,18525.121098,1676.264124,504.491306,360,3,1.0
2,2,1,1,2708,1167,97,360,2,2.0
1,0,1,2,11000,0,83,360,1,1.0
1,1,2,1,3596,0,100,240,1,2.0
1,0,1,1,3539.90341,0,114.302665,360,3,1.0
2,1,1,1,33846,0,260,360,2,1.0
2,0,1,1,3777.822954,1486.728207,141.734185,360,3,1.0
1,1,2,-1,5191,0,132,360,2,2.0
2,3,1,2,10139,0,260,360,2,2.0
2,0,1,1,4179.010088,7196.286061,148.629227,360,1,1.0
2,0,1,1,6333,4583,259,360,2,2.0
2,0,1,1,2400,0,75,360,1,2.0
1,0,2,-1,2550,2042,126,360,3,2.0
1,0,1,1,9109.593567,0,233.171718,360,1,1.0
1,0,1,1,4256.101132,0,119.301663,360,2,1.0
2,2,1,1,3159,461,108,84,1,2.0
2,2,1,2,5746,0,144,84,3,2.0
2,2,1,1,6250,5654,188,180,2,2.0
1,0,1,1,3648.575042,0,112.583974,425.87898,1,1.0
1,0,1,1,1500,1800,103,360,2,1.0
1,0,1,1,3537.036544,0,77.201634,360,1,1.0
-1,-1,1,1,4758,0,158,480,2,2.0
1,0,2,1,6173.567561,0,156.371595,360,3,1.0
1,0,1,1,3762,1666,135,360,3,2.0
2,2,2,1,2947,1646.870612,21.304666,266.789728,1,1.0
1,0,1,1,1916,5063,67,360,3,1.0
1,0,1,1,3244,0,80,360,1,2.0
2,0,1,1,4180,2306,182,360,2,2.0
2,0,1,1,4333,2451,110,360,1,1.0
1,0,1,1,2603.452748,0,102.938704,119.646944,1,1.0
2,3,1,1,6461.615857,13684.449983,223.968403,360,1,1.0
2,1,1,1,3052,1030,100,360,1,2.0
2,0,1,1,4458.251673,2217.128397,49.505192,360,1,1.0
2,0,1,1,6329.333658,1735.479574,239.307705,20.607865,3,1.0
1,1,2,2,4053,2426,158,360,1,1.0
2,3,1,2,5677,1424,100,360,3,2.0
1,0,1,1,6295.004004,891.278212,164.185002,360,3,1.0
1,0,1,2,10627.981625,0,156.268956,360,1,1.0
-1,-1,1,1,10047,0,-1,240,2,2.0
2,3,1,1,3400,2500,123,360,3,1.0
2,0,1,1,3887,2669,162,360,2,2.0
1,0,1,-1,5050,0,118,360,2,2.0
2,3,1,1,5516,11300,495,360,2,1.0
1,0,1,1,2965,5701,155,60,1,2.0
1,0,1,2,15759,0,55,360,2,2.0
2,2,1,-1,5000,0,72,360,2,1.0
2,0,1,1,4625,2857,111,12,1,2.0
2,0,1,1,2597.863118,1903.26992,113.863342,360,1,1.0
2,2,1,1,3019.150804,1737.032126,103.960268,398.526799,1,1.0
1,3,1,-1,416,41667,350,180,1,1.0
2,0,1,1,3497,1964,116,360,3,2.0
1,0,1,1,2500,0,67,360,1,2.0
2,2,1,1,5935,0,133,360,2,2.0
2,0,1,1,3260.564624,1268.793739,126.830853,360,3,1.0
1,0,1,1,3333,0,70,360,1,2.0
1,0,1,1,4886.656795,0,128.287626,307.31197,3,1.0
2,1,2,1,2239,2524,128,360,1,2.0
1,0,1,1,4166,0,44,360,2,2.0
2,0,1,1,3542.192033,3989.032581,140.036391,269.843536,3,1.0
2,2,2,1,2996.654123,1705.655339,111.786701,225.606777,1,1.0
2,0,1,1,2666,4300,121,360,3,2.0
2,1,2,1,5333,1131,186,360,1,2.0
1,0,2,1,2755,0,65,300,3,1.0
1,1,1,2,7451,0,-1,360,2,2.0
-1,-1,1,1,3816,754,160,360,1,2.0
1,0,1,1,20233,0,480,360,3,1.0
2,3,2,1,4755,0,95,-1,2,1.0
2,2,1,1,1378,1881,167,360,1,1.0
2,0,1,1,5755.91342,2244.614683,184.331745,360,3,1.0
2,3,1,1,5250,0,94,360,1,1.0
2,0,1,1,2333,2417,136,360,1,2.0
2,1,2,1,2492,2375,-1,360,3,2.0
1,0,2,1,2717,0,60,180,1,2.0
2,0,1,1,7664.141215,0,154.702538,360,1,1.0
1,0,1,1,3183.606963,0,99.785634,360,1,1.0
1,0,1,1,4000,2500,140,360,3,2.0
2,0,2,1,2600,1700,107,360,3,2.0
1,2,1,1,5532,4648,162,360,3,2.0
2,2,1,1,4865,5624,208,360,2,2.0
2,0,1,-1,3716,0,42,180,3,2.0
2,0,1,2,3000,0,66,360,1,2.0
1,0,1,1,5000,2541,151,480,3,1.0
2,0,1,1,2500,3796,120,360,1,2.0
2,1,1,1,3125,2583,170,360,2,1.0
2,0,1,2,674,5296,168,360,3,2.0
2,1,1,1,10750,0,312,360,1,2.0
1,2,1,1,3427,0,138,360,1,1.0
2,1,1,1,3315,0,96,360,2,2.0
2,0,1,1,3213.985849,2223.875777,128.351944,287.403634,1,1.0
2,0,1,1,2541.254306,1835.767751,100.718228,307.784789,3,1.0
2,0,1,1,14583,0,436,360,2,2.0
2,1,1,1,3073.957089,1657.649683,90.3474,264.457878,1,1.0
2,-1,1,1,13650,0,-1,360,1,2.0
2,2,2,1,7667,0,185,360,3,2.0
1,0,1,1,4292.304276,0,126.676837,360,2,1.0
2,2,1,1,4167,1447,158,360,3,2.0
2,2,1,1,3717,0,120,360,2,2.0
1,0,1,1,8566,0,210,360,1,2.0
2,1,1,2,10513,3850,160,180,1,1.0
1,0,1,1,2346.632168,1539.771174,128.298342,368.311985,3,1.0
2,-1,1,1,5667,2667,180,360,3,2.0
2,3,1,1,3036,2504,158,360,2,1.0
2,0,1,1,3103,1300,80,360,1,2.0
1,0,2,2,17263,0,225,360,2,2.0
2,2,1,1,16666,0,275,360,1,2.0
1,0,1,1,3780.504224,0,66.838179,360,1,1.0
2,0,1,1,9083,0,228,360,2,2.0
1,1,2,2,3867,0,62,360,2,1.0
1,0,1,1,2290.042001,0,49.089297,360,1,1.0
2,0,1,1,9328,0,188,180,3,2.0
2,0,2,1,2253,2033,110,360,3,2.0
2,0,1,1,1892.047805,4893.672164,139.4317,360,2,1.0
2,0,1,1,4623.046129,2455.763884,139.719319,439.378207,3,1.0
2,2,1,2,7948,7166,480,360,3,2.0
2,1,1,1,4028.878283,3476.033801,206.004153,360,1,1.0
2,0,2,1,2556.015005,3477.887128,194.757921,330.199622,1,1.0
2,0,1,2,9963,0,180,360,3,2.0
2,0,1,1,3927,800,112,360,2,2.0
1,0,1,1,4950,0,125,360,1,2.0
2,0,1,1,2768,1950,155,360,3,2.0
2,0,1,1,3588.306811,1615.050897,74.733625,360,3,1.0
2,2,1,1,4708,1387,150,360,2,2.0
1,0,1,1,4230,0,112,360,2,1.0
2,0,1,1,1025,2773,112,360,3,2.0
2,0,1,1,1809,1868,90,360,1,2.0
1,0,1,1,5316,0,136,360,1,2.0
1,0,1,1,4173.338764,0,117.376834,360,2,1.0
2,-1,1,1,5116,1451,165,360,1,1.0
2,2,1,1,5780,0,192,360,1,2.0
1,0,1,1,3660,5064,187,360,2,2.0
2,0,2,-1,2894,2792,155,360,3,2.0
2,1,2,1,1958,2436,131,360,3,2.0
1,-1,1,1,2987,0,88,360,2,1.0
1,0,1,1,3180,0,71,360,1,1.0
2,2,1,1,3283,2035,148,360,1,2.0
2,0,1,-1,5746,0,255,360,1,1.0
2,1,1,1,6000,0,160,360,3,2.0
2,1,1,1,4583,1508,128,360,3,1.0
2,2,2,1,3048.568516,1736.273365,106.053619,393.175675,1,1.0
2,2,1,2,2500,4600,176,360,3,2.0
1,0,1,1,4166,0,116,360,2,1.0
2,1,1,1,6875,0,200,360,2,2.0
1,1,2,2,2769,1542,190,360,2,1.0
2,0,1,1,3000,3416,56,180,2,2.0
1,0,2,1,3400,0,95,360,3,1.0
2,0,2,1,2400,3800,-1,180,1,1.0
2,3,1,1,3029,0,99,360,1,2.0
2,2,1,2,6250,1300,108,360,3,2.0
2,1,1,1,12000,0,496,360,2,2.0
1,0,1,1,3133.962765,0,77.891123,360,1,1.0
2,2,1,1,9703,0,112,360,1,2.0
2,0,2,1,3814,1483,124,300,2,2.0
2,0,1,1,4583,0,115.259398,360,3,1.0
1,0,1,1,2896.837693,113.05998,82.354296,360,1,1.0
1,0,2,1,2165,0,70,360,2,2.0
2,1,1,1,2787,1917,146,360,3,1.0
2,0,1,2,5500,0,105,360,3,1.0
2,2,2,1,2192,1742,45,360,2,2.0
2,3,1,1,1338.481462,27530.823592,300.242855,288.493461,1,1.0
2,0,2,1,2583,2358,120,360,1,2.0
2,0,2,1,4100,0,124,360,3,2.0
2,0,1,1,2058,2134,88,360,1,2.0
2,0,1,1,7333,8333,175,300,3,2.0
2,2,1,2,2726,0,106,360,2,1.0
2,2,1,2,6000,0,205,240,2,1.0
2,1,1,1,3155,1779,140,360,2,2.0
2,3,1,1,23803,0,370,360,3,2.0
1,0,1,1,3676,4301,172,360,3,2.0
2,0,1,1,3741.853285,4902.414913,149.054929,111.751768,3,1.0
2,2,1,1,2045,1619,101,360,3,2.0
1,0,1,1,2378,0,46,360,3,1.0
2,1,1,1,1782,2232,107,360,3,2.0
2,1,1,1,3089,1280,121,360,2,1.0
1,0,2,1,6216,0,133,360,3,1.0
2,0,1,1,2275,2067,-1,360,1,2.0
2,0,1,1,49204.335596,0,260.832907,360,3,1.0
2,0,1,1,4817,923,120,180,1,2.0
2,2,1,2,9323,7873,380,300,3,2.0
1,0,1,2,10424.305244,0,181.507938,360,1,1.0
2,0,1,-1,3333,2500,128,360,2,2.0
2,2,1,1,11757,0,187,180,1,2.0
2,0,1,1,5568,2142,175,360,3,1.0
2,0,1,1,5488,0,125,360,3,2.0
2,0,1,1,4583,0,84,360,3,1.0
1,0,1,1,10408,0,259,360,1,2.0
2,1,1,2,9833,1833,182,180,1,2.0
2,0,1,1,2400,2167,115,360,2,2.0
1,0,1,1,8333,0,280,360,2,2.0
1,0,1,1,6082.942093,4532.212682,247.200137,360,3,1.0
1,0,1,1,3750,0,100,360,1,2.0
2,0,1,1,2871.687779,1885.529952,141.581489,360,2,1.0
1,0,1,2,20166,0,650,480,1,2.0
2,1,1,1,1880,0,61,360,3,1.0
2,0,1,1,3101.309153,2016.76356,110.561437,238.005271,1,1.0
2,0,1,2,3459,0,25,120,2,2.0
2,0,1,1,3280.555646,2470.787895,139.007336,360,2,1.0
2,0,1,1,2483,2466,90,180,3,2.0
2,0,1,1,3413.77711,4651.698915,176.168186,310.542365,3,1.0
1,1,1,1,4870.253532,0,134.940255,360,3,1.0
2,0,1,1,5821,0,144,360,1,2.0
1,0,1,2,2500,0,93,360,1,2.0
2,2,2,-1,210,2917,98,360,2,2.0
2,0,2,1,6033,0,160,360,1,1.0
2,0,2,-1,1820,1769,95,360,3,2.0
2,2,1,1,3153,1560,134,360,1,2.0
2,0,1,1,2221,0,60,360,1,1.0
2,2,1,1,5391,0,130,360,1,2.0
1,0,1,1,2900,0,71,360,3,2.0
1,0,1,-1,7081.505158,0,139.797842,360,1,1.0
2,2,1,1,5042,2083,185,360,3,1.0
1,0,1,1,3750,4750,176,360,1,1.0
2,0,1,-1,63337,0,490,180,1,2.0
2,0,1,1,1576.701076,3002.35937,96.316932,360,1,1.0
2,2,1,1,3859,0,96,360,2,2.0
2,3,1,1,6417,0,157,180,3,2.0
2,0,1,-1,2929,2333,139,360,2,2.0
2,2,1,1,3340,1710,150,360,3,1.0
2,2,2,1,4288,3263,133,180,1,2.0
1,0,1,1,2060,2209,134,360,2,2.0
1,0,1,1,2718,0,70,360,2,2.0
2,0,1,1,19730,5266,570,360,3,1.0
2,0,1,1,5976.450534,0,246.098596,360,3,1.0
1,0,1,1,7679.574639,4263.522444,307.414596,360,3,1.0
1,0,1,2,4583,0,133,360,2,1.0
2,2,2,1,4652,0,110,360,3,2.0
2,0,1,1,3708,2569,173,360,1,1.0
1,3,2,1,4707,1993,148,360,2,2.0
2,0,1,1,3038.226654,2500.145181,125.104711,360,2,1.0
2,0,1,1,3667,1459,144,360,2,2.0
2,1,1,1,3417,1750,186,360,1,2.0
2,1,1,2,10000,0,155,360,3,1.0
2,3,2,1,2647,1587,173,360,3,1.0
2,2,1,2,3316,3500,88,360,1,2.0
1,0,2,2,5800,0,132,360,2,2.0
2,0,1,1,2484,2302,137,360,2,2.0
1,1,2,1,2679,1302,94,360,2,2.0
1,0,2,1,2346,1600,132,360,2,2.0
1,1,1,1,3062,1987,111,180,1,1.0
1,0,1,1,2417.143796,0,34.094196,463.972063,1,1.0
2,2,1,2,17500,0,400,360,3,2.0
1,0,1,2,7167,0,128,360,1,2.0
1,2,1,1,3617,0,107,360,2,2.0
2,0,1,1,3872.339502,3289.067134,159.890525,360,1,1.0
2,0,1,1,3593,4266,132,180,3,1.0
2,0,1,1,4999.63483,7727.497881,211.368385,360,1,1.0
2,2,2,1,3365,1917,112,360,3,1.0
2,1,2,1,2652.062507,1502.400435,159.966826,296.733984,1,1.0
2,0,1,1,4342.453217,1496.855909,128.192924,360,3,1.0
1,0,1,1,3418,0,127,360,2,1.0
2,1,1,2,7787,0,240,360,1,2.0
2,0,1,1,3232,1950,108,360,3,2.0
1,0,1,1,3410,0,88,-1,1,2.0
1,0,2,1,6033.249994,0,149.980826,360,3,1.0
1,0,2,2,18165,0,125,360,1,2.0
1,0,1,1,4239.816348,4625.897808,203.075978,360,3,1.0
2,0,2,1,2149,3237,178,360,2,1.0
2,0,1,1,3652.043914,4284.383036,174.748348,133.886019,3,1.0
1,0,1,1,6000,0,156,360,1,2.0
2,2,1,1,4566,0,100,360,1,1.0
2,1,1,-1,5250,688,160,360,3,2.0
2,0,1,1,14880,0,96,360,2,2.0
1,0,1,1,2435,0,75,360,1,1.0
2,0,1,1,2423,505,130,360,2,2.0
1,0,1,1,6032.817874,4278.546008,120.260958,227.265662,3,1.0
2,1,1,1,2014,2925,113,360,1,1.0
1,0,1,1,7200,0,120,360,3,2.0
1,0,1,1,3530.558721,0,83.456904,189.417741,3,1.0
2,0,1,1,2587.24881,1765.279867,129.489843,308.950702,1,1.0
1,0,1,1,2404.504061,0,54.575876,360,1,1.0
2,0,1,1,150,1800,135,360,3,1.0
2,0,1,1,4750,2333,130,360,1,2.0
2,1,1,1,4608,2845,140,180,2,2.0
1,1,1,-1,3652,0,95,360,2,2.0
1,1,1,1,4384,1793,117,360,1,2.0
2,3,1,1,5167,3167,200,360,2,2.0
2,3,1,1,39999,0,600,180,2,2.0
2,0,1,1,3166,2064,104,360,1,1.0
2,0,1,1,3013,3033,95,300,1,2.0
2,1,2,1,4554,1229,158,360,1,2.0
1,0,1,1,3583,0,96,360,1,1.0
2,2,1,1,2873,1872,132,360,2,1.0
2,0,1,1,3541.140135,1647.285519,69.360197,360,3,1.0
2,2,1,-1,2583,2330,125,360,3,2.0
1,0,1,1,3600,0,80,360,1,1.0
1,0,1,1,2228.653954,0,61.237324,423.51068,3,1.0
2,0,1,2,9560,0,191,360,2,2.0
2,0,1,1,7365.404781,0,240.19105,360,1,1.0
2,0,1,1,7750.285694,0,146.194011,360,1,1.0
2,0,1,1,6206.358382,13591.500351,232.607908,360,1,1.0
1,0,1,1,3159,0,100,360,2,2.0
1,0,1,1,5815,3666,311,360,3,1.0
2,3,1,1,9504,0,275,360,3,2.0
1,0,1,1,3581.631991,0,83.204543,360,1,1.0
2,2,1,1,8000,0,200,360,2,2.0
2,0,1,1,7933,0,275,360,1,1.0
2,3,2,1,3173,0,74,360,2,2.0
1,0,1,1,6500,0,105,360,3,1.0
2,1,1,1,3333,3250,158,360,1,2.0
1,1,1,1,13262,0,40,360,1,2.0
2,0,1,1,10833,0,234,360,2,2.0
2,0,1,1,4829.25427,0,133.296247,360,2,1.0
2,0,1,1,3246,1417,138,360,2,2.0
2,2,1,1,8333,3167,165,360,3,2.0
1,0,1,1,2667,1625,84,360,1,2.0
2,3,2,1,3992,0,-1,180,1,1.0
2,0,2,1,5978.099455,0,238.357022,270.653359,3,1.0
2,1,1,1,5500,1260,170,360,3,2.0
1,0,1,1,8836.1383,4499.815688,330.57854,208.824859,3,1.0
2,1,1,1,2491,2054,104,360,2,2.0
2,0,1,1,8334,0,160,360,2,1.0
1,2,1,1,4923,0,166,360,2,2.0
2,0,1,1,5078.51373,1473.79569,132.146127,360,3,1.0
1,0,1,1,2507,0,56,360,3,2.0
1,0,1,1,3237,0,30,360,1,2.0
2,1,1,1,5649,0,44,360,1,2.0
2,0,1,1,9323,0,75,180,1,2.0
2,0,1,1,4544.518758,1476.219696,128.036235,360,3,1.0
2,0,1,1,2645,3440,120,360,1,1.0
2,1,1,1,3400,2500,173,360,2,2.0
1,0,1,1,4797.949167,2013.082647,185,360,3,1.0
2,1,2,1,5285,1430,161,360,2,2.0
1,0,1,1,11372.653242,0,222.300864,360,1,1.0
2,0,1,1,4588.746124,0,82.673879,360,3,1.0
1,0,1,2,7441,0,194,360,3,1.0
2,0,2,1,2330.076824,3282.355012,7.963277,242.370498,2,1.0
1,0,1,1,2138,0,99,360,2,1.0
2,1,1,1,2214,1398,85,360,1,2.0
2,0,1,1,2620,2223,150,360,2,2.0
1,0,1,2,6822,0,141,360,3,2.0
2,2,1,1,8799,0,258,360,1,1.0
1,0,1,1,1787.344848,1358.768,101.925887,315.703531,1,1.0
1,0,1,2,11943.129951,0,134.192294,360,1,1.0
2,0,2,1,2765.72482,3802.952679,170.300088,198.596999,1,1.0
2,3,1,1,7740,0,128,180,1,2.0
2,0,2,1,2649.023014,1543.531848,130.565687,311.79354,2,1.0
1,0,1,1,18811.218689,0,148.694043,360,3,1.0
1,0,1,1,3648.439234,0,106.468436,360,1,1.0
2,0,1,1,4583,5625,255,360,2,2.0
1,0,1,1,2995,0,60,360,1,2.0
1,0,1,1,20406.917854,0,101.125776,360,3,1.0
1,0,2,1,6378.219582,0,146.033664,360,3,1.0
2,2,2,1,3273,1820,81,360,1,2.0
1,0,1,1,2137,8980,137,360,2,2.0
2,-1,1,2,5503,4490,70,-1,2,2.0
2,0,1,1,22495.860364,0,400.925506,360,3,1.0
2,-1,2,1,3074,1800,123,360,2,1.0
2,0,1,1,5374.837257,0,117.557534,367.885657,1,1.0
2,1,1,1,4283,3000,172,84,3,1.0
2,0,1,1,3166,0,36,360,2,2.0
1,0,2,1,4408,0,120,360,2,2.0
2,0,2,1,4188,0,115,180,2,2.0
1,0,1,1,10200.132517,0,211.061768,360,1,1.0
2,0,2,1,3572,4114,152,-1,3,1.0
2,0,1,1,3707,3166,182,-1,3,2.0
2,2,2,1,3083,2168,126,360,1,2.0
2,3,1,1,6406,0,150,360,2,1.0
2,0,1,1,3250,0,170,360,3,1.0
1,0,2,1,2213,0,66,360,3,2.0
2,3,1,1,4333,1811,160,360,1,2.0
2,0,1,1,4599.186734,0,126.337688,360,3,1.0
2,1,1,1,14583,0,185,180,3,2.0
2,0,1,1,6080,2569,182,360,3,1.0
